stt,mã số,nhóm,món ăn
1,HAP-223025,Các món khác|Other food dishes,"Tiết luộc|(Boiled pig blood)|Năng lượng: 65,9 Kcal"
2,VPF-000432,Các món chế biến sẵn|Ready-made foods,Cá trích hộp sốt cà chua|(Canned herring in tomato sauce)|Năng lượng: 198 Kcal
3,VPF-000431,Các món chế biến sẵn|Ready-made foods,Cá nục sốt cà chua (cá hộp)|(Canned mackerel in tomato sauce)|Năng lượng: 177 Kcal
4,VPF-000430,Các món chế biến sẵn|Ready-made foods,Cá ngừ hộp|(Cá ngừ hộp)|Năng lượng: 127 Kcal
5,VPF-000429,Các loại trái cây|Fresh fruits,Mít khô|(Dried jackfruit)|Năng lượng: 120 Kcal
6,VPF-000428,Các loại trái cây|Fresh fruits,Chuối khô|(Dried bananas)|Năng lượng: 161 Kcal
7,VPF-000427,Các loại trái cây|Fresh fruits,Xoài|(Mango)|Năng lượng: 55 Kcal
8,VPF-000426,Các loại trái cây|Fresh fruits,Vú sữa|(Star apple)|Năng lượng: 49 Kcal
9,VPF-000425,Các loại trái cây|Fresh fruits,Vải thiều|(Lychee)|Năng lượng: 67 Kcal
10,VPF-000424,Các loại trái cây|Fresh fruits,Thanh long|(Dragon fruit)|Năng lượng: 32 Kcal
11,VPF-000423,Các loại trái cây|Fresh fruits,Táo tây|(Apple)|Năng lượng: 38 Kcal
12,VPF-000422,Các loại trái cây|Fresh fruits,Táo ta|(Jujube)|Năng lượng: 127 Kcal
13,VPF-000421,Các loại trái cây|Fresh fruits,Sầu riêng|(Durian)|Năng lượng: 100 Kcal
14,VPF-000420,Các loại trái cây|Fresh fruits,Quýt|(Mandarin orange)|Năng lượng: 39 Kcal
15,VPF-000419,Các loại trái cây|Fresh fruits,Quả kiwi|(Kiwi fruit)|Năng lượng: 63 Kcal
16,VPF-000418,Các loại trái cây|Fresh fruits,Quả bơ vỏ xanh|(Green-skinned avocado)|Năng lượng: 138 Kcal
17,VPF-000417,Các loại trái cây|Fresh fruits,Ổi|(Guava)|Năng lượng: 26 Kcal
18,VPF-000416,Các loại trái cây|Fresh fruits,Nho ngọt|(Sweet grapes)|Năng lượng: 54 Kcal
19,VPF-000415,Các loại trái cây|Fresh fruits,Nhãn|(Longan)|Năng lượng: 38 Kcal
20,VPF-000414,Các loại trái cây|Fresh fruits,Na|(Custard apple)|Năng lượng: 51 Kcal
21,VPF-000413,Các loại trái cây|Fresh fruits,Mận cơm|(Plum)|Năng lượng: 16 Kcal
