stt,năng lượng,chất đạm,chất béo,chất bột đường,vitamin a,beta-caroten,vitamin c,canxi,sắt,kẽm,natri,cholesterol,kali,xơ
,kcal,g,g,g,mcg,mcg,mg,mg,mg,mg,mg,mg,mg,g
1,"65,9","11,4","0,2","4,6",113,"776,1","21,8","42,9","38,3","0,2","553,4",,"24,9",
2,198,19,"12,2",3,24,,,"73,1","1,9",,605,,,
3,177,"16,9","10,9","2,7","21,3",,,65,"1,7",,,"39,5",,
4,127,"14,5","7,6","0,1",,,,,,,,"18,4",,"0,9"
5,120,2,3,22,,,,,,,,,,5
6,161,"0,5","39,9",,,,,21,"0,2",,,,,1
7,"39,9",55,"0,5","0,2","12,7",,356,24,8,"0,3","0,4","1,6",,"91,2",
8,"39,9",49,"1,2",,11,,,5,"79,6","0,5",,,,,"2,7"
9,"39,9",67,"1,1",,"15,6",,,"56,2",9,"0,8","0,3","1,5",,"265,5","1,7"
10,"39,9",32,1,"0,1",7,,,"7,7",9,"0,5","0,2",,,280,"1,4"
11,"39,9",38,"0,4",,9,,22,"5,6",15,2,,12,"0,1","81,6","0,5"
12,"39,9",127,"2,7","0,7","27,7",,19,"80,1","146,8","0,6","0,1",10,,"834,2","2,3"
13,"39,9",100,"1,8","1,2","20,7",,17,27,"14,6","0,6","0,2",1,,439,1
14,"39,9",39,"0,8",,"8,8",,98,"56,2",36,"0,4","0,2","4,1",,"113,4","0,6"
15,"39,9",63,"1,1","0,4",14,,68,"89,4","30,2","0,3","0,1","2,2",,"357,8","1,5"
16,138,"2,6","12,9","3,2",,"72,6","23,3",82,"2,2","0,5","2,7",,477,"0,7"
17,26,"0,5",,"6,2",,299,"49,6",8,1,"1,9","3,2",,"232,8","4,8"
18,54,"0,3",,"13,2",,31,"2,4",14,"0,5","0,1","0,8",,104,"0,5"
19,38,"0,7",,"8,8",,,"46,3",17,"0,3","0,2","20,7",,205,"0,8"
20,51,"1,3",,"11,6",,,"28,8",28,"0,5","0,1","17,6",,208,"0,6"
21,16,"0,5","0,2","3,1",,92,"2,4",22,"0,3","0,1",,,147,"0,6"
22,69,"0,9",,"16,4",,"259,2","7,2",30,"0,6","0,9","4,3",,"529,9","1,7"
23,19,"0,2","0,1","4,9",,,"0,9",2,,"0,0","0,3",,"28,2","0,4"
24,167,"2,6","0,7","37,7",,113,"14,8","70,3","8,5","0,4","18,5",,"325,5","2,2"
25,38,"0,4","0,6",8,,,"6,4",42,"1,8","0,0","17,6",,"75,2",2
26,38,"0,9",,"8,3",,,71,28,"1,2","0,1",,,"191,6","6,9"
27,28,"0,8",,"6,2",,221,"43,2",32,"2,1","0,0","3,2",,"176,8","0,5"
28,68,2,"0,4","13,9",,"356,4",22,44,"1,1","0,1","2,2",,374,"3,3"
29,23,"0,6",,"5,2",,32,"19,2",12,"0,4","0,2","19,2",,"125,6","0,6"
30,13,"0,2",,3,,24,"5,6",22,"0,3",,,,,
31,32,"0,7",,"7,6",,,,20,"1,1",,,,,"0,9"
32,16,"1,2","0,2","2,3",,364,7,8,1,"0,1",5,,187,"0,5"
33,92,"1,4","0,2",21,,61,"5,7",8,"0,6","0,3",18,,311,"0,8"
34,48,"0,6","0,2","10,8",,23,"4,3",9,"0,4","0,2","2,3",,"206,5",
35,58,"1,2",,"13,1",,,,22,"0,4","0,0","17,6",,"109,6",1
36,36,"0,9",,"8,2",,92,39,33,"0,4","0,2","3,9",,"105,3","1,4"
37,24,"0,2",,"5,8",,,76,18,"0,4","0,1","2,4",,"127,2","0,6"
38,58,"3,8","4,8",,"41,3","17,8",,115,,"0,5",165,61,9,
39,90,"1,5","5,5","8,3","9,6","4,2","0,4",46,,"0,2",,5,60,
40,110,"5,4","5,9","8,8","75,6",,,"190,8","0,5","0,6",,,,
